Latitude (decimal degrees):	36.897
Longitude (decimal degrees):	30.713
Elevation (m):	55
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050428:1809,0.0,0.0,0.0,0.0,19.46,1.72,0.0
20050428:1909,0.0,0.0,0.0,0.0,19.26,1.79,0.0
20050428:2009,0.0,0.0,0.0,0.0,18.58,2.14,0.0
20050428:2109,0.0,0.0,0.0,0.0,18.36,2.34,0.0
20050428:2209,0.0,0.0,0.0,0.0,17.47,2.34,0.0
20050428:2309,0.0,0.0,0.0,0.0,17.47,2.55,0.0
20050429:0009,0.0,0.0,0.0,0.0,17.49,3.03,0.0
20050429:0109,0.0,0.0,0.0,0.0,17.34,3.45,0.0
20050429:0209,0.0,0.0,0.0,0.0,17.04,3.52,0.0
20050429:0309,0.0,0.0,0.0,0.0,16.86,3.52,0.0
20050429:0409,0.0,13.0,0.0,11.63,16.9,3.24,0.0
20050429:0509,158.0,113.0,0.0,23.57,17.96,2.83,0.0
20050429:0609,296.0,167.0,0.0,35.52,18.49,1.72,0.0
20050429:0709,271.0,291.0,0.0,47.12,18.84,1.1,0.0
20050429:0809,334.0,348.0,0.0,57.66,19.48,1.66,0.0
20050429:0909,85.0,447.0,0.0,65.46,19.36,2.28,0.0
20050429:1009,1.0,316.0,0.0,67.32,19.52,2.41,0.0
20050429:1109,665.0,232.0,0.0,62.01,19.52,3.17,0.0
20050429:1209,695.0,157.0,0.0,52.51,19.59,3.93,0.0
20050429:1309,417.0,230.0,0.0,41.3,19.19,4.55,0.0
20050429:1409,182.0,237.0,0.0,29.46,18.44,4.41,0.0
20050429:1509,74.0,160.0,0.0,17.47,18.24,3.66,0.0
20050429:1609,8.0,55.45,0.0,5.66,18.02,2.9,0.0
20050429:1709,0.0,0.0,0.0,0.0,16.81,1.93,0.0
20050429:1809,0.0,0.0,0.0,0.0,16.72,1.66,0.0
20050429:1909,0.0,0.0,0.0,0.0,16.44,1.79,0.0
20050429:2009,0.0,0.0,0.0,0.0,15.97,2.14,0.0
20050429:2109,0.0,0.0,0.0,0.0,15.86,2.69,0.0
20050429:2209,0.0,0.0,0.0,0.0,15.4,2.14,0.0
20050429:2309,0.0,0.0,0.0,0.0,15.62,2.69,0.0
20050430:0009,0.0,0.0,0.0,0.0,15.49,2.55,0.0
20050430:0109,0.0,0.0,0.0,0.0,15.22,3.52,0.0
20050430:0209,0.0,0.0,0.0,0.0,15.02,4.55,0.0
20050430:0309,0.0,0.0,0.0,0.0,15.33,5.59,0.0
20050430:0409,0.0,21.0,0.0,11.84,15.54,5.03,0.0
20050430:0509,194.0,98.0,0.0,23.77,16.52,4.69,0.0
20050430:0609,405.0,113.0,0.0,35.73,16.99,5.52,0.0
20050430:0709,554.0,142.0,0.0,47.34,17.56,5.86,0.0
20050430:0809,688.0,156.0,0.0,57.92,18.67,4.97,0.0
20050430:0909,814.01,144.0,0.0,65.76,19.13,3.79,0.0
20050430:1009,840.01,150.0,0.0,67.62,19.39,4.07,0.0
20050430:1109,845.01,132.0,0.0,62.25,19.32,3.03,0.0
20050430:1209,742.0,136.0,0.0,52.69,19.0,2.69,0.0
20050430:1309,502.0,185.0,0.0,41.45,18.55,3.59,0.0
20050430:1409,412.0,123.0,0.0,29.6,18.74,5.31,0.0
20050430:1509,236.0,94.0,0.0,17.62,18.14,5.86,0.0
20050430:1609,47.0,59.0,0.0,5.81,18.09,5.31,0.0
20050430:1709,0.0,0.0,0.0,0.0,17.16,4.48,0.0
20050430:1809,0.0,0.0,0.0,0.0,17.03,2.76,0.0
20050430:1909,0.0,0.0,0.0,0.0,16.83,1.38,0.0
20050430:2009,0.0,0.0,0.0,0.0,16.15,1.86,0.0
20050430:2109,0.0,0.0,0.0,0.0,15.8,2.62,0.0
20050430:2209,0.0,0.0,0.0,0.0,16.02,3.24,0.0
20050430:2309,0.0,0.0,0.0,0.0,16.13,3.72,0.0
20050501:0009,0.0,0.0,0.0,0.0,16.04,4.76,0.0
20050501:0109,0.0,0.0,0.0,0.0,15.83,5.52,0.0
20050501:0209,0.0,0.0,0.0,0.0,15.49,6.0,0.0
20050501:0309,0.0,0.0,0.0,0.0,15.46,6.34,0.0
20050501:0409,34.0,52.0,0.0,12.04,15.29,6.62,0.0
20050501:0509,215.0,91.0,0.0,23.96,16.28,6.76,0.0
20050501:0609,390.0,122.0,0.0,35.93,16.75,7.31,0.0
20050501:0709,565.0,139.0,0.0,47.56,17.32,6.9,0.0
20050501:0809,653.0,181.0,0.0,58.17,18.54,6.14,0.0
20050501:0909,782.01,164.0,0.0,66.05,19.27,5.17,0.0
20050501:1009,816.01,166.0,0.0,67.92,19.97,4.55,0.0
20050501:1109,747.01,190.0,0.0,62.48,20.07,3.86,0.0
20050501:1209,704.0,158.0,0.0,52.87,20.12,2.83,0.0
20050501:1309,528.0,173.0,0.0,41.61,20.03,1.52,0.0
20050501:1409,379.0,143.0,0.0,29.75,19.8,0.41,0.0
20050501:1509,210.0,108.0,0.0,17.77,19.77,0.69,0.0
20050501:1609,13.0,65.0,0.0,5.97,19.13,2.14,0.0
20050501:1709,0.0,0.0,0.0,0.0,18.01,4.55,0.0
20050501:1809,0.0,0.0,0.0,0.0,19.03,5.93,0.0
20050501:1909,0.0,0.0,0.0,0.0,19.06,6.62,0.0
20050501:2009,0.0,0.0,0.0,0.0,18.28,6.41,0.0
20050501:2109,0.0,0.0,0.0,0.0,17.84,6.28,0.0
20050501:2209,0.0,0.0,0.0,0.0,17.06,6.14,0.0
20050501:2309,0.0,0.0,0.0,0.0,16.69,5.59,0.0
20050502:0009,0.0,0.0,0.0,0.0,16.44,5.45,0.0
20050502:0109,0.0,0.0,0.0,0.0,16.21,5.31,0.0
20050502:0209,0.0,0.0,0.0,0.0,15.79,5.24,0.0
20050502:0309,0.0,0.0,0.0,0.0,15.53,5.31,0.0
20050502:0409,28.0,55.0,0.0,12.24,15.45,5.59,0.0
20050502:0509,186.0,106.0,0.0,24.16,16.43,6.14,0.0
20050502:0609,358.0,140.0,0.0,36.12,16.89,7.59,0.0
20050502:0709,518.0,165.0,0.0,47.77,17.49,7.52,0.0
20050502:0809,398.0,325.0,0.0,58.41,18.67,6.76,0.0
20050502:0909,198.0,453.0,0.0,66.34,19.45,5.59,0.0
20050502:1009,634.0,276.0,0.0,68.21,20.27,5.66,0.0
20050502:1109,27.0,408.0,0.0,62.71,20.43,5.72,0.0
20050502:1209,162.0,417.0,0.0,53.05,20.74,5.52,0.0
20050502:1309,131.0,351.0,0.0,41.76,20.73,4.76,0.0
20050502:1409,0.0,128.0,0.0,29.89,20.63,3.93,0.0
20050502:1509,74.0,164.0,0.0,17.91,20.37,3.59,0.0
20050502:1609,1.0,46.0,0.0,6.12,20.29,3.66,0.0
20050502:1709,0.0,0.0,0.0,0.0,19.43,3.79,0.0
20050502:1809,0.0,0.0,0.0,0.0,19.02,0.0,0.0
20050502:1909,0.0,0.0,0.0,0.0,18.8,0.0,0.0
20050502:2009,0.0,0.0,0.0,0.0,18.27,5.1,0.0
20050502:2109,0.0,0.0,0.0,0.0,18.1,5.24,0.0
20050502:2209,0.0,0.0,0.0,0.0,17.26,5.45,0.0
20050502:2309,0.0,0.0,0.0,0.0,16.97,5.45,0.0
20050503:0009,0.0,0.0,0.0,0.0,16.89,5.52,0.0
20050503:0109,0.0,0.0,0.0,0.0,16.81,5.52,0.0
20050503:0209,0.0,0.0,0.0,0.0,16.39,5.66,0.0
20050503:0309,0.0,0.0,0.0,0.0,16.27,5.59,0.0
20050503:0409,22.0,57.0,0.0,12.43,16.09,5.66,0.0
20050503:0509,173.0,114.0,0.0,24.35,17.54,5.52,0.0
20050503:0609,337.0,153.0,0.0,36.31,18.35,5.66,0.0
20050503:0709,561.0,140.0,0.0,47.98,19.05,6.62,0.0
20050503:0809,684.0,159.0,0.0,58.65,20.58,6.48,0.0
20050503:0909,719.0,200.0,0.0,66.63,21.09,6.0,0.0
20050503:1009,795.01,175.0,0.0,68.5,22.1,5.38,0.0
20050503:1109,739.0,192.0,0.0,62.94,22.56,4.48,0.0
20050503:1209,189.0,412.0,0.0,53.23,22.67,3.86,0.0
20050503:1309,227.0,326.0,0.0,41.91,22.98,3.1,0.0
20050503:1409,200.0,236.0,0.0,30.03,24.53,2.48,0.0
20050503:1509,196.0,116.0,0.0,18.06,23.32,1.52,0.0
20050503:1609,1.0,48.0,0.0,6.28,21.96,0.21,0.0
20050503:1709,0.0,0.0,0.0,0.0,22.36,0.83,0.0
20050503:1809,0.0,0.0,0.0,0.0,20.77,1.93,0.0
20050503:1909,0.0,0.0,0.0,0.0,20.55,2.9,0.0
20050503:2009,0.0,0.0,0.0,0.0,19.73,3.52,0.0
20050503:2109,0.0,0.0,0.0,0.0,19.25,3.93,0.0
20050503:2209,0.0,0.0,0.0,0.0,18.44,3.38,0.0
20050503:2309,0.0,0.0,0.0,0.0,18.33,3.24,0.0
20050504:0009,0.0,0.0,0.0,0.0,18.16,3.52,0.0
20050504:0109,0.0,0.0,0.0,0.0,18.04,4.0,0.0
20050504:0209,0.0,0.0,0.0,0.0,17.47,4.48,0.0
20050504:0309,0.0,0.0,0.0,0.0,16.86,4.9,0.0
20050504:0409,37.0,57.0,0.0,12.62,16.69,5.79,0.0
20050504:0509,220.0,95.0,0.0,24.53,17.0,6.76,0.0
20050504:0609,394.0,128.0,0.0,36.5,16.8,7.52,0.0
20050504:0709,0.0,0.0,0.0,0.0,16.97,7.31,0.0
20050504:0809,643.0,196.0,0.0,58.88,18.28,6.69,0.0
20050504:0909,785.01,171.0,0.0,66.91,18.88,5.66,0.0
20050504:1009,788.01,193.0,0.0,68.78,20.35,4.48,0.0
20050504:1109,762.0,190.0,0.0,63.17,20.58,3.66,0.0
20050504:1209,654.0,198.0,0.0,53.4,20.68,2.83,0.0
20050504:1309,520.0,186.0,0.0,42.06,20.72,2.14,0.0
20050504:1409,337.0,175.0,0.0,30.17,20.63,1.24,0.0
20050504:1509,229.0,104.0,0.0,18.2,20.44,1.24,0.0
20050504:1609,16.0,70.0,0.0,6.43,19.73,2.69,0.0
20050504:1709,0.0,0.0,0.0,0.0,19.75,3.45,0.0
20050504:1809,0.0,0.0,0.0,0.0,19.29,3.72,0.0
20050504:1909,0.0,0.0,0.0,0.0,19.17,3.31,0.0
20050504:2009,0.0,0.0,0.0,0.0,17.72,2.9,0.0
20050504:2109,0.0,0.0,0.0,0.0,17.16,2.48,0.0
20050504:2209,0.0,0.0,0.0,0.0,16.77,2.0,0.0
20050504:2309,0.0,0.0,0.0,0.0,16.84,1.45,0.0
20050505:0009,0.0,0.0,0.0,0.0,16.67,1.24,0.0
20050505:0109,0.0,0.0,0.0,0.0,16.7,1.31,0.0
20050505:0209,0.0,0.0,0.0,0.0,16.52,1.45,0.0
20050505:0309,0.0,0.0,0.0,0.0,16.39,1.79,0.0
20050505:0409,37.0,57.0,0.0,12.8,16.1,1.86,0.0
20050505:0509,212.0,97.0,0.0,24.71,17.44,1.66,0.0
20050505:0609,379.0,130.0,0.0,36.68,18.38,0.83,0.0
20050505:0709,547.0,148.0,0.0,48.37,18.89,1.1,0.0
20050505:0809,693.0,155.0,0.0,59.1,20.01,2.34,0.0
20050505:0909,732.0,191.0,0.0,67.18,19.76,3.45,0.0
20050505:1009,793.01,176.0,0.0,69.06,20.1,4.28,0.0
20050505:1109,790.0,161.0,0.0,63.39,20.14,5.38,0.0
20050505:1209,658.0,184.0,0.0,53.58,20.0,5.72,0.0
20050505:1309,502.0,187.0,0.0,42.21,20.0,4.9,0.0
20050505:1409,81.0,266.0,0.0,30.31,19.95,3.93,0.0
20050505:1509,45.0,168.0,0.0,18.34,19.74,2.9,0.0
20050505:1609,12.0,68.0,0.0,6.58,19.27,2.21,0.0
20050505:1709,0.0,0.0,0.0,0.0,18.1,1.59,0.0
20050505:1809,0.0,0.0,0.0,0.0,17.65,1.38,0.0
20050505:1909,0.0,0.0,0.0,0.0,17.55,1.31,0.0
20050505:2009,0.0,0.0,0.0,0.0,16.75,1.17,0.0
20050505:2109,0.0,0.0,0.0,0.0,16.93,0.97,0.0
20050505:2209,0.0,0.0,0.0,0.0,16.72,0.83,0.0
20050505:2309,0.0,0.0,0.0,0.0,16.47,0.83,0.0
20050506:0009,0.0,0.0,0.0,0.0,16.54,0.83,0.0
20050506:0109,0.0,0.0,0.0,0.0,16.5,1.17,0.0
20050506:0209,0.0,0.0,0.0,0.0,16.5,1.38,0.0
20050506:0309,0.0,0.0,0.0,0.0,16.61,1.03,0.0
20050506:0409,0.0,9.0,0.0,12.98,16.87,0.28,0.0
20050506:0509,161.0,120.0,0.0,24.88,18.11,0.69,0.0
20050506:0609,24.0,234.0,0.0,36.86,18.33,1.66,0.0
20050506:0709,37.0,319.0,0.0,48.56,18.15,2.41,0.0
20050506:0809,318.0,353.0,0.0,59.32,18.71,3.17,0.0
20050506:0909,118.0,450.0,0.0,67.45,18.66,3.86,0.0
20050506:1009,518.0,328.0,0.0,69.34,18.76,3.93,0.0
20050506:1109,373.0,385.0,0.0,63.6,18.63,4.62,0.0
20050506:1209,637.0,185.0,0.0,53.75,18.64,4.21,0.0
20050506:1309,425.0,223.0,0.0,42.36,18.87,3.59,0.0
20050506:1409,113.0,259.0,0.0,30.45,18.42,3.24,0.0
20050506:1509,76.0,164.0,0.0,18.48,18.48,2.83,0.0
20050506:1609,2.0,55.0,0.0,6.74,18.38,1.93,0.0
20050506:1709,0.0,0.0,0.0,0.0,17.65,0.97,0.0
20050506:1809,0.0,0.0,0.0,0.0,18.03,0.48,0.0
20050506:1909,0.0,0.0,0.0,0.0,17.93,0.83,0.0
20050506:2009,0.0,0.0,0.0,0.0,18.0,0.83,0.0
20050506:2109,0.0,0.0,0.0,0.0,17.99,0.9,0.0
20050506:2209,0.0,0.0,0.0,0.0,17.47,0.55,0.0
20050506:2309,0.0,0.0,0.0,0.0,17.21,0.76,0.0
20050507:0009,0.0,0.0,0.0,0.0,17.12,0.76,0.0
20050507:0109,0.0,0.0,0.0,0.0,17.03,0.76,0.0
20050507:0209,0.0,0.0,0.0,0.0,17.01,0.34,0.0
20050507:0309,0.0,0.0,0.0,0.0,16.94,0.21,0.0
20050507:0409,7.0,57.0,0.0,13.16,17.19,0.48,0.0
20050507:0509,11.0,139.0,0.0,25.05,17.7,0.21,0.0
20050507:0609,44.0,249.0,0.0,37.03,17.73,2.0,0.0
20050507:0709,150.0,336.0,0.0,48.74,17.87,3.17,0.0
20050507:0809,284.0,371.0,0.0,59.54,18.37,3.66,0.0
20050507:0909,306.0,414.0,0.0,67.71,18.41,4.07,0.0
20050507:1009,17.0,395.0,0.0,69.61,18.98,4.0,0.0
20050507:1109,69.0,444.0,0.0,63.82,19.08,4.41,0.0
20050507:1209,5.0,313.0,0.0,53.91,19.08,4.55,0.0
20050507:1309,90.0,349.0,0.0,42.5,19.08,4.55,0.0
20050507:1409,206.0,231.0,0.0,30.59,18.81,4.0,0.0
20050507:1509,92.0,162.0,0.0,18.63,18.7,3.31,0.0
20050507:1609,10.0,67.0,0.0,6.89,18.7,2.41,0.0
20050507:1709,0.0,0.0,0.0,0.0,18.09,2.14,0.0
20050507:1809,0.0,0.0,0.0,0.0,18.12,2.21,0.0
20050507:1909,0.0,0.0,0.0,0.0,18.04,1.45,0.0
20050507:2009,0.0,0.0,0.0,0.0,17.16,1.03,0.0
20050507:2109,0.0,0.0,0.0,0.0,17.14,1.24,0.0
20050507:2209,0.0,0.0,0.0,0.0,16.34,0.97,0.0
20050507:2309,0.0,0.0,0.0,0.0,16.4,1.79,0.0
20050508:0009,0.0,0.0,0.0,0.0,16.7,1.72,0.0
20050508:0109,0.0,0.0,0.0,0.0,16.48,1.45,0.0
20050508:0209,0.0,0.0,0.0,0.0,16.3,1.31,0.0
20050508:0309,0.0,0.0,0.0,0.0,16.13,0.69,0.0
20050508:0409,57.0,55.0,0.0,13.32,15.71,3.31,0.0
20050508:0509,35.0,159.0,0.0,25.21,15.68,4.48,0.0
20050508:0609,315.0,169.0,0.0,37.19,15.73,4.34,0.0
20050508:0709,506.0,174.0,0.0,48.92,15.57,3.72,0.0
20050508:0809,607.0,206.0,0.0,59.75,15.76,2.62,0.0
20050508:0909,0.0,253.0,0.0,67.96,16.38,2.07,0.0
20050508:1009,614.0,283.0,0.0,69.88,18.06,1.72,0.0
20050508:1109,513.0,323.0,0.0,64.03,17.7,2.76,0.0
20050508:1209,629.0,200.0,0.0,54.08,17.99,3.17,0.0
20050508:1309,420.0,234.0,0.0,42.65,17.21,1.17,0.0
20050508:1409,0.0,105.0,0.0,30.73,17.45,1.31,0.0
20050508:1509,132.0,151.0,0.0,18.77,17.52,2.97,0.0
20050508:1609,17.0,72.0,0.0,7.04,17.8,2.34,0.0
20050508:1709,0.0,0.0,0.0,0.0,17.34,1.66,0.0
20050508:1809,0.0,0.0,0.0,0.0,17.46,1.1,0.0
20050508:1909,0.0,0.0,0.0,0.0,17.36,0.69,0.0
20050508:2009,0.0,0.0,0.0,0.0,16.64,0.69,0.0
20050508:2109,0.0,0.0,0.0,0.0,16.38,0.69,0.0
20050508:2209,0.0,0.0,0.0,0.0,15.76,0.9,0.0
20050508:2309,0.0,0.0,0.0,0.0,15.62,1.1,0.0
20050509:0009,0.0,0.0,0.0,0.0,15.44,1.38,0.0
20050509:0109,0.0,0.0,0.0,0.0,15.55,1.66,0.0
20050509:0209,0.0,0.0,0.0,0.0,15.53,1.93,0.0
20050509:0309,0.0,0.0,0.0,0.0,15.64,2.0,0.0
20050509:0409,0.0,19.0,0.0,13.49,15.87,1.86,0.0
20050509:0509,226.0,96.0,0.0,25.37,17.91,1.17,0.0
20050509:0609,391.0,130.0,0.0,37.35,18.61,0.62,0.0
20050509:0709,560.0,146.0,0.0,49.09,18.95,1.52,0.0
20050509:0809,717.0,145.0,0.0,59.95,19.8,2.62,0.0
20050509:0909,777.0,166.0,0.0,68.22,19.6,3.52,0.0
20050509:1009,796.0,176.0,0.0,70.14,19.66,0.0,0.0
20050509:1109,770.0,174.0,0.0,64.24,19.68,0.0,0.0
20050509:1209,708.0,156.0,0.0,54.24,19.99,4.69,0.0
20050509:1309,537.0,169.0,0.0,42.79,20.05,4.21,0.0
20050509:1409,403.0,134.0,0.0,30.87,19.88,3.86,0.0
20050509:1509,231.0,104.0,0.0,18.9,19.64,3.03,0.0
20050509:1609,19.0,73.0,0.0,7.19,19.53,2.21,0.0
20050509:1709,0.0,0.0,0.0,0.0,18.95,1.1,0.0
20050509:1809,0.0,0.0,0.0,0.0,18.35,0.41,0.0
20050509:1909,0.0,0.0,0.0,0.0,17.75,1.24,0.0
20050509:2009,0.0,0.0,0.0,0.0,16.59,1.59,0.0
20050509:2109,0.0,0.0,0.0,0.0,16.21,1.38,0.0
20050509:2209,0.0,0.0,0.0,0.0,15.4,1.24,0.0
20050509:2309,0.0,0.0,0.0,0.0,15.38,0.83,0.0
20050510:0009,0.0,0.0,0.0,0.0,15.31,0.62,0.0
20050510:0109,0.0,0.0,0.0,0.0,15.33,0.97,0.0
20050510:0209,0.0,0.0,0.0,0.0,15.21,1.31,0.0
20050510:0309,0.0,0.0,0.0,0.0,15.29,1.52,0.0
20050510:0409,26.0,67.0,0.0,13.65,15.64,1.38,0.0
20050510:0509,206.0,109.0,0.0,25.52,17.56,0.76,0.0
20050510:0609,314.0,178.0,0.0,37.51,17.88,0.62,0.0
20050510:0709,569.0,146.0,0.0,49.26,17.97,1.31,0.0
20050510:0809,727.0,145.0,0.0,60.14,19.12,2.14,0.0
20050510:0909,798.0,160.0,0.0,68.46,19.21,3.03,0.0
20050510:1009,807.0,175.0,0.0,70.4,19.9,3.59,0.0
20050510:1109,804.0,160.0,0.0,64.44,20.14,4.41,0.0
20050510:1209,718.0,156.0,0.0,54.4,20.26,4.55,0.0
20050510:1309,592.0,142.0,0.0,42.93,20.45,4.14,0.0
20050510:1409,428.0,125.0,0.0,31.0,20.48,3.79,0.0
20050510:1509,222.0,112.0,0.0,19.04,20.26,3.17,0.0
20050510:1609,16.0,75.0,0.0,7.33,20.08,2.41,0.0
20050510:1709,0.0,0.0,0.0,0.0,19.09,1.52,0.0
